,edge,flow,density
749,-253260533,0.0,0
750,-253268317#0,0.0,0
751,-253268317#1,0.0,0
752,-253268317#2,0.0,0
753,-253268317#3,0.0,0
754,-253268317#4,0.0,0
755,-253268317#5,0.0,0
756,-253268317#6,0.0,0
757,-253268318#0,0.0,0
758,-253268318#1,0.0,0
759,-253268318#2,0.0,0
760,-253268318#3,0.0,0
761,-253268318#4,0.0,0
762,-253268319,0.0,0
763,-253268320,0.0,0
764,-253268321#0,0.0,0
765,-253268321#1,0.0,0
766,-253268321#2,0.0,0
767,-253268321#3,0.0,0
768,-253268322#0,0.0,0
769,-253268322#1,0.0,0
770,-253268322#2,0.0,0
771,-253268322#3,0.0,0
772,-253268323,0.0,0
773,-253268325#0,0.0,0
774,-253268325#1,0.0,0
775,-253268325#2,0.0,0
776,-253268325#3,0.0,0
777,-253268325#4,0.0,0
778,-253268326,0.0,0
779,-253268327,0.0,0
780,-253268328,0.0,0
781,-253268329,0.0,0
782,-253268330#0,0.0,0
783,-253268330#1,0.0,0
784,-253268330#3,0.0,0
785,-253272375#0,10.27,0.3
786,-253272375#1,9.48,0.21
787,-253272379,0.0,0
788,-253273630,0.0,0
789,-253275178#1,1.58,0.12
790,-253275179#0,0.0,0
791,-253275179#1,0.0,0
792,-253275181,0.0,0
793,-255973733#0,97.13,3.78
794,-255973733#1,97.13,2.26
795,-255973733#2,104.23,2.21
796,-255973733#3,101.07,2.07
797,-255973733#4,101.86,2.22
798,-255973733#5,37.9,1.99
799,-255973733#6,44.22,1.02
800,-255973733#7,43.43,1.03
801,-255973733#8,46.59,1.35
802,-255973733#9,48.96,1.15
803,-255973752#0,34.74,0.6
804,-255973752#1,31.59,0.64
805,-255973752#2,28.43,0.62
806,-255973752#4,0.0,0.13
807,-265149485#0,2.37,0.06
808,-265149485#1,1.58,0.22
809,-265149485#2,0.0,0.12
810,-265353020#0,12.63,0.63
811,-265353020#1,12.63,0.74
812,-267466899#0,3.16,0.41
813,-267466899#1,0.0,0
814,-267466899#2,0.79,0.04
815,-267466899#3,0.79,0.03
816,-282168226,10.27,0.88
817,-294774642#0,3.95,0.07
818,-294774642#1,4.74,0.1
819,-294774832,0.0,0
820,-314153597#1,61.59,4.08
821,-314153599#1,116.87,3.78
822,-314153599#2,101.07,2.13
823,-314153602#1,128.71,3.04
824,-314153602#2,124.76,3.22
825,-314153602#3,127.13,266.67
826,-314153605#0,56.85,1.51
827,-314153605#1,58.43,1.2
828,-314153605#2,44.22,0.7
829,-314153605#3,43.43,0.82
830,-321760061#0,77.39,1.53
831,-321760074#0,0.0,0
832,-321760074#1,0.0,0
833,-325021549,1.58,0.08
834,-339859630,0.0,0.17
835,-339859632#0,7.11,0.91
836,-339859633#0,5.53,0.19
837,-339859633#1,6.32,0.55
838,-339859633#2,5.53,0.38
839,-361221973#1,75.02,2.18
840,-361221973#2,54.49,1.11
841,-361221973#3,47.38,0.9
842,-361221973#4,43.43,1.03
843,-361221974#0,35.53,1.23
844,-361221974#1,37.11,1.32
845,-361221974#2,33.95,1.15
846,-361221974#3,31.59,1.2
847,-361221974#4,35.53,1.02
848,-361221974#5,40.27,1.47
849,-361221974#6,7.11,1.98
850,-361221974#7,5.53,0.19
851,-361221974#8,6.32,0.18
